"","u","v","branch_lenghts"
"354",407,177,1
"355",404,408,1
"356",408,409,1
"357",409,178,1
"358",409,179,1
"359",408,410,1
"360",410,180,1
"361",410,181,1
"362",380,411,1
"363",411,182,1
"364",411,412,1
"365",412,183,1
"366",412,413,1
"367",413,414,1
"368",414,184,1
"369",414,185,1
"370",413,415,1
"371",415,416,1
"372",416,417,1
"373",417,186,1
"374",417,187,1
"375",416,418,1
"376",418,188,1
"377",418,189,1
"378",415,419,1
"379",419,420,1
"380",420,421,1
"381",421,422,1
"382",422,190,1
"383",422,191,1
"384",421,423,1
"385",423,192,1
"386",423,193,1
"387",420,424,1
"388",424,425,1
"389",425,194,1
"390",425,195,1
"391",424,426,1
"392",426,196,1
"393",426,197,1
"394",419,427,1
"395",427,428,1
"396",428,429,1
"397",429,430,1
"398",430,431,1
"399",431,198,1
"400",431,199,1
"401",430,432,1
"402",432,200,1
"403",432,201,1
"404",429,433,1
"405",433,434,1
"406",434,202,1
"407",434,203,1
"408",433,435,1
"409",435,204,1
"410",435,205,1
"411",428,436,1
"412",436,437,1
"413",437,438,1
"414",438,206,1
"415",438,207,1
"416",437,439,1
"417",439,208,1
"418",439,209,1
"419",436,440,1
"420",440,441,1
"421",441,210,1
"422",441,211,1
"423",440,442,1
"424",442,212,1
"425",442,213,1
"426",427,443,1
"427",443,444,1
"428",444,445,1
"429",445,446,1
"430",446,214,1
"431",446,215,1
"432",445,447,1
"433",447,216,1
"434",447,217,1
"435",444,448,1
"436",448,449,1
"437",449,218,1
"438",449,219,1
"439",448,450,1
"440",450,220,1
"441",450,221,1
"442",443,451,1
"443",451,452,1
"444",452,453,1
"445",453,222,1
"446",453,223,1
"447",452,454,1
"448",454,224,1
"449",454,225,1
"450",451,455,1
"451",455,456,1
"452",456,226,1
"453",456,227,1
"454",455,457,1
"455",457,228,1
"456",457,229,1
